Código Olla Común;Nombre de las Ollas Comunes;Departamento;Provincia;Distrito;Referencia;Centro Poblado;Cocina;N° Beneficiarios;Estado
X1501060065;MUJERES ORGANIZADAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;58;Transitado
X1501060066;MUJERES VIRTUOSAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;43;Cancelado
X1501060067;LAS VECINAS DE LA MANZANA E;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;84;Transitado
X1501060068;ANDY Y SU PUEBLO 2DA ETAPA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;61;Transitado
X1501060069;LUZ DIVINA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;32;Inactivo
X1501060070;MUJERES UNIDAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;85;Transitado
X1501060071;SANTA LEONOR;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;70;Transitado
X1501060072;NUEVO AMANECER DE TORRE BLANCA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;54;Transitado
X1501060073;LOS HUERTOS DE VILLA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;46;Transitado
X1501060074;LAS GUERRERAS DE DIOS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;65;Transitado
X1501060075;DIOS ES AMOR;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;50;Transitado
X1501060076;JEHOVA ES MI PASTOR;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;64;Transitado
X1501060077;EL HUECO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;56;Transitado
X1501060078;YANINA PALOMINO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;74;Transitado
X1501060079;ROSMERI PEREZ CARDENAS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;61;Inactivo
X1501060080;RINCONCITO DE ESPERANZA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;39;Transitado
X1501060081;DIOS PROVERA DEL CALIZAL;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;60;Transitado
X1501060082;JESÚS OBRERO;LIMA;LIMA;CARABAYLLO;;;No tiene Cocina;30;Cancelado
X1501060083;CORAZÓN DE JESÚS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;130;Transitado
X1501060084;VIRGEN DEL ROSARIO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;87;Transitado
X1501060085;ISABEL ESTUPIÑÁN;LIMA;LIMA;CARABAYLLO;;;Ninguna;0;Cancelado
X1501060086;VECINOS UNIDOS POR LA NECESIDAD;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;71;Transitado
X1501060087;LOS JARDINES DE ELIAN KARP;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;49;Inactivo
X1501060088;MARCELA VALERA DE POMACOCHA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;51;Transitado
X1501060089;SOL DE CARABAYLLO;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;103;Transitado
X1501060090;MARIA AUXILIADORA;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;63;Cancelado
X1501060091;SHALOM EL ARCO IRIS;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;48;Inactivo
X1501060092;MORIHISA AOKI;LIMA;LIMA;CARABAYLLO;;;Con balón de Gas;47;Transitado
